center,address,phone,operator,languages,region
Hollywood,"1370 North St. Andrews Place, #215, Los Angeles 90028",213-989-3158,PACE,"English, Korean, Thai, Mandarin, Cantonese, Tagalog, Spanish, Armenian, Farsi",Central/East LA
Pico-Union/Westlake,"1055 Wilshire Boulevard, #900-B, Los Angeles 90017",213-353-9400,PACE,"English, Spanish, Korean, Mandarin, Cantonese, French, Lingala, Tagalog, Thai, Armenian, Farsi, Hindi, Kanada, Gujrati, Marathi, Punjabi",Central/East LA
East LA / Boyle Heights,"1780 East First Street, Los Angeles 90033",323-568-1520,New Economics for Women,"English, Spanish",Central/East LA
Southeast Los Angeles,"3761 South Hill Street, Unit 1, Los Angeles 90007",323-450-7226,Coalition for Responsible Community Development,"English, Spanish",South/West LA
South Los Angeles,"5444 Crenshaw Boulevard, Suite 100, Los Angeles 90043",323-450-7226,Coalition for Responsible Community Development,"English, Spanish",South/West LA
Watts,"1513 East 103rd Street, Los Angeles 90002",213-563-2570,Managed Career Solutions,"English, Spanish",South/West LA
Harbor Area / San Pedro,"390 West 7th Street, San Pedro 90731",310-221-0644,Managed Career Solutions,"English, Spanish",Harbor
West Valley / Canoga Park,"6800 Owensmouth Ave, Suite 150, Canoga Park 91303",747-265-6201,Managed Career Solutions,"English, Spanish",San Fernando Valley
South Valley / Van Nuys,"5805 Sepulveda Blvd, Suite 801, Van Nuys 91411",818-616-4118,Initiating Change in our Neighborhoods (ICON CDC),"English, Spanish",San Fernando Valley
North Valley / Pacoima,"13168 Van Nuys Boulevard, Pacoima 91331",818-302-6114,Initiating Change in our Neighborhoods (ICON CDC),"English, Spanish",San Fernando Valley
