program,description,lead,CITYHALLConnect_use_case,url
BusinessSource Centers,"Free consulting, training, capital access, hiring/workforce development, tax incentives and workshops for LA business owners/resident entrepreneurs.",City of LA EWDD,"Business intake; referral engine; center map; multilingual service matching",https://ewdd.lacity.gov/index.php/business/businesssource
Business Response Unit,"One-stop business help desk for LA city requirements, incentives, permits and navigation issues.",City of LA EWDD,"Case-routing workflow; city requirement triage; helpdesk CRM",https://ewdd.lacity.gov/index.php/business/business-programs
JEDI Zones,"Economic incentives for underserved business corridors; includes access to capital, compliance assistance, employer connect, facade improvement and microloan support.",City of LA EWDD,"Corridor dashboard; subsidy eligibility; council-district maps",https://ewdd.lacity.gov/index.php/business/jedi-zones
JEDI Zone Microloan,"Financing for microenterprises and small businesses in approved JEDI Zones that cannot secure private lending.",City of LA EWDD,"Loan-readiness checklist; capital access queue",https://ewdd.lacity.gov/index.php/business/jedi-zones
LA Business Navigator,"Central business resource hub for starting, managing and growing a business in Los Angeles.",City of Los Angeles,"Business journey UX; permit/license navigation",https://business.lacity.gov/resources
ProcureLA,"Procurement readiness and contracting support for small businesses seeking public contracts.",City of LA EWDD,"LA28/vendor readiness pipeline; RAMP assistance",https://www.ewddlacity.com/index.php/local-business
Legacy Business Program,"Recognizes and supports longstanding Los Angeles businesses and neighborhood anchors.",City of LA EWDD,"Legacy business tracker; historic corridor preservation",https://www.ewddlacity.com/index.php/local-business
LA Optimized,"Digital assistance program for small businesses, including online presence and e-commerce support.",City of LA EWDD,"Digital readiness scoring; website/social audit",https://www.ewddlacity.com/index.php/local-business
WorkSource Centers,"Workforce, training and hiring assistance for job seekers and employers.",City of LA EWDD,"Employer connect; hiring support; training referrals",https://www.ewddlacity.com/index.php/local-business
YouthSource / Hire LA's Youth,"Youth workforce development and employer connection programs.",City of LA EWDD,"Youth jobs pipeline; internship and hiring dashboard",https://www.ewddlacity.com/index.php/local-business
Good Food Zones,"Food access and community-serving business support program area.",City of LA EWDD,"Food business map; community benefit tracker",https://ewdd.lacity.gov/index.php/business/business-programs
Small Business Commission,"City advisory and engagement body for small business concerns.",City of Los Angeles,"Policy signal; meeting and agenda tracker",https://www.ewddlacity.com/index.php/local-business
